season,year,production,area,yield
Autumn,2011,3631569.0,2487310.13,1.4600386804197996
Autumn,2013,4170908.0,2444146.7,1.706488403498857
Autumn,2014,4781821.0,2491444.6,1.919296539846802
Autumn,2015,3477873.0,2424096.3,1.4347090913838696
Autumn,2016,4365514.0,2435392.8,1.7925297307276264
Autumn,2017,4441086.0,2251812.57,1.9722272000639913
Autumn,2018,4261129.0,2089462.95,2.0393417361145363
Autumn,2019,4228461.0,1938867.58,2.1808921061024704
Kharif,2011,294767419.0,88694698.96,3.323393871971264
Kharif,2013,323426506.0,87409312.0,3.700137875470293
Kharif,2014,313866254.0,86123372.0,3.6443795303323703
Kharif,2015,294165796.0,88176306.3,3.3361093058169984
Kharif,2016,336123764.0,90751226.0,3.703793092558331
Kharif,2017,363744253.0,91055983.4,3.994732025484884
Kharif,2018,361603179.0,92528069.226,3.908037658462142
Kharif,2019,381424880.0,95856330.2,3.979130843045773
Rabi,2011,160448408.0,56634509.5,2.833050191773975
Rabi,2013,167168127.0,61834314.0,2.7034847835459126
Rabi,2014,149508260.0,58785496.5,2.5432848049518473
Rabi,2015,153863306.0,58348258.1,2.636981994154852
Rabi,2016,189185532.0,62297775.71,3.0367943292336848
Rabi,2017,194452442.0,62649844.32,3.1037976887346237
Rabi,2018,193604821.0,61104009.35,3.1684470963442597
Rabi,2019,216631700.0,67402742.07,3.2139894216027702
Summer,2011,11584065.0,4414331.01,2.624194917363028
Summer,2013,12279541.0,4427059.5,2.773746546663762
Summer,2014,11872315.0,4425479.0,2.682718639044497
Summer,2015,11398623.0,4305888.0,2.64721771676365
Summer,2016,11772871.0,4223872.0,2.7872224821206704
Summer,2017,17230939.0,4913551.0,3.506820016725175
Summer,2018,16010627.0,4385666.28,3.6506715235067997
Summer,2019,19038818.0,5603797.0,3.397485312191002
Whole Year,2011,250378004.0,10451915.4,23.95522680943246
Whole Year,2013,250892552.0,11409808.39,21.989199417221762
Whole Year,2014,261197316.0,10486515.09,24.907923534013626
Whole Year,2015,230990956.0,11274049.018,20.48873085713951
Whole Year,2016,202429615.0,9649301.202,20.978681332700305
Whole Year,2017,248954577.0,9676182.16,25.728595522844106
Whole Year,2018,258798405.0,9565720.733,27.054773207751353
Whole Year,2019,226235615.0,8513701.61,26.573120055590017
Winter,2011,28215025.0,13083677.9,2.1565056259906856
Winter,2013,28651400.0,13088099.0,2.189118526685961
Winter,2014,32387117.0,13103851.0,2.471572440803852
Winter,2015,27246060.0,13052333.0,2.0874475084262714
Winter,2016,35208811.0,13684335.0,2.5729281693264596
Winter,2017,33933427.0,13519410.0,2.50997839402755
Winter,2018,33579314.0,13454294.47,2.4958063817373843
Winter,2019,37069659.0,13626591.0,2.7203912555972365
